"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"NF2",4.99302255606001e-33
"HAUS1",4.99974248931358e-33
"Celera Transcript hCT2319221.1",5.02975013720866e-33
"SYNRG",5.07742752174363e-33
"TMEM80",5.08697156995476e-33
"FUT11",5.09208661426144e-33
"Celera Transcript hCT2326343,Celera Transcript hCT8465.3,Celera Transcript hCT2326342",5.10464993733785e-33
"TSPAN6",5.11490835540886e-33
"ZDHHC12",5.1170694525647e-33
"NDRG3",5.1271113445577e-33
"LOC100128076",5.13844925612562e-33
"ZAK",5.16108864111335e-33
"C5orf38",5.20368059076214e-33
"ZNF318",5.21130964983776e-33
"PDZK1IP1",5.25391904196976e-33
"BAIAP2L2",5.29959347861025e-33
"Celera Transcript hCT2304719",5.29974840396093e-33
"Celera Transcript hCT1640348.2",5.3221446365757e-33
"SETD6",5.34029297484461e-33
"NCAPD2",5.35431016001514e-33
"C9orf139",5.36906676828793e-33
"PLAU",5.39902430095524e-33
"SDAD1",5.40004351458573e-33
"Celera Transcript hCT2270114,Celera Transcript hCT2270115,Celera Transcript hCT2333386",5.41601178763451e-33
"B4GAT1",5.44154198618798e-33
"CAAP1",5.45448306350724e-33
"VPS9D1",5.45764622688787e-33
"155905",5.48693183570711e-33
"MSI2",5.4936333077294e-33
"POLR2M",5.5078527403266e-33
"Celera Transcript hCT2348787,Celera Transcript hCT2348788,Celera Transcript hCT2348786",5.51887295141185e-33
"EVPL",5.52483448076366e-33
"ACYP2",5.55222883377723e-33
"ATP8B3",5.59638185325651e-33
"IPO4",5.62678020387492e-33
"TJAP1",5.70647184860457e-33
"SNCG",5.72752495426677e-33
"Celera Transcript hCT2325699",5.73309310578191e-33
"NFIB",5.73634395588178e-33
"Celera Transcript hCT1971102.1",5.7592757622715e-33
"HIST1H2BD",5.78758885881915e-33
"PTGR1",5.81279712264664e-33
"TRAK2",5.81939596730476e-33
"C5AR2",5.82559452812799e-33
"TAF6L",5.84751297581846e-33
"Celera Transcript hCT2262112,Celera Transcript hCT2358348,Celera Transcript hCT2358349,Celera Transcript hCT1647500.3",5.87201310165947e-33
"Celera Transcript hCT1970810.2",5.92257111113491e-33
"CXADR",5.98787910184813e-33
"Celera Transcript hCT2288350",5.99451716064502e-33
"TCEAL9",6.17389374817299e-33
"NLE1",6.18527738742404e-33
"Celera Transcript hCT2341229.1",6.26020703946851e-33
"CLINT1",6.26990087361243e-33
"SLC25A17",6.2829148485561e-33
"PPP2CB",6.32177047483969e-33
"Celera Transcript hCT1968018.1,Celera Transcript hCT1968016.1,Celera Transcript hCT1968020.1,Celera Transcript hCT1968017.1,Celera Transcript hCT20158.3,Celera Transcript hCT1968019.1",6.33462261687855e-33
"WDR36",6.36402627002925e-33
"Celera hCG2036827",6.36799450607919e-33
"BIRC5",6.42042709894361e-33
"ZNF764",6.4276849879217e-33
"GRN",6.43803926452573e-33
"MSTO1",6.46468257765369e-33
"Celera Transcript hCT2351803",6.46589291791371e-33
"RPA1",6.51845076730227e-33
"Celera Transcript hCT22308.4",6.5282428257936e-33
"SYBU",6.53030026812168e-33
"HOXD13",6.62705360839012e-33
"SHROOM3",6.68774409645413e-33
"Celera Transcript hCT2315695",6.72407833358446e-33
"Celera Transcript hCT2349716",6.75077206985349e-33
"MAP4K2",6.75815662320359e-33
"214957",6.76984832499078e-33
"Celera Transcript hCT1960887.1",6.77755526092344e-33
"IER5",6.77776384290375e-33
"Celera Transcript hCT2324163",6.77958357111963e-33
"Celera Transcript hCT1642867.2",6.78109272111046e-33
"KLHL21",6.79846079338873e-33
"RAB32",6.81539887379406e-33
"Celera Transcript hCT1809301",6.8380100648053e-33
"TVP23C",6.841940388866e-33
"MXD4",6.8905963944575e-33
"MIS12",6.89943208544113e-33
"Celera hCG401265.3",6.90725764793902e-33
"GRAMD3",6.91778117686026e-33
"MXI1",6.95746195995362e-33
"MYCBP",6.97148852013304e-33
"Celera Transcript hCT2280307",7.01872158934053e-33
"GON7",7.14064198195201e-33
"Celera Transcript hCT2293956",7.24139596563658e-33
"BBS2",7.25196549476352e-33
"STX12",3.23251420231264e-33
"PGM1",7.38713179825433e-33
"Celera Transcript hCT1822499.2",7.41305087478776e-33
"CHIC2",7.4229146149505e-33
"TLE1",7.42558527355877e-33
"METTL21A",7.45549755713441e-33
"SLC1A5",7.48294591219548e-33
"Celera Transcript hCT1815315.2",7.5399918743901e-33
"AKTIP",7.5837101303724e-33
"CHCHD10",7.66223567523211e-33
"STBD1",7.70129786438787e-33
"Celera Transcript hCT1970937.1",7.70803041927959e-33
"MAP4K4",7.79934687379277e-33
"Celera Transcript hCT13418.2,Celera Transcript hCT2353108,Celera Transcript hCT2353107",7.82965777725733e-33
"--obsolete",7.83753811248723e-33
"Celera Transcript hCT19211.3",7.84541415609685e-33
"Celera Transcript hCT14043.3",7.8866798598884e-33
"ZNF430",7.93189908890593e-33
"EPB41L2",7.93473294183278e-33
"Celera Transcript hCT2270741,Celera Transcript hCT2270743",7.94742494414993e-33
"Celera Transcript hCT83226.1",7.97621938908958e-33
"VPS33B",7.97943822580805e-33
"PRSS8",7.99271570926013e-33
"BTN3A3",8.04462863605364e-33
"MAT2A",8.06510352334065e-33
"DPYSL2",8.06743139818413e-33
"AP1S2",8.0901047391424e-33
"Celera Transcript hCT2308435,Celera Transcript hCT2308434.1",8.10408789764335e-33
"Celera Transcript hCT1656337.1",8.11671148511286e-33
"VPS37B",8.12979299919436e-33
"RCC2",8.13639425515061e-33
"DSN1",8.18304990483033e-33
"EPB41L1",8.18760331866288e-33
"Celera Transcript hCT18483.3",8.22939766194721e-33
"Celera Transcript hCT2311948",8.24112518538884e-33
"Celera Transcript hCT12568.2",8.28985963302774e-33
"RIDA",8.3144945829904e-33
"Celera Transcript hCT9920.3",8.32456408222422e-33
"TOP1MT",8.33997518784849e-33
"ZNF267",8.38162276482344e-33
"MANEAL",8.38504922158625e-33
"ZNF628",8.39806730922821e-33
"Celera Transcript hCT2250984,Celera Transcript hCT2250987",8.46679753537713e-33
"APLN",8.49176208473737e-33
"NRIP1",8.61182118450272e-33
"Celera Transcript hCT29330.3",8.63651863737445e-33
"PRNP",8.66388520342141e-33
"TSPAN3",8.87652538674895e-33
"TP53I3",8.90901844500646e-33
"Celera Transcript hCT2348368,Celera Transcript hCT2348369",8.91923789966341e-33
"CHAF1A",8.92961940815341e-33
"BAZ1A",8.95599170170368e-33
"FXYD3",9.03448181540794e-33
"EXO1",9.09780938732523e-33
"Celera Transcript hCT2332803",9.09896887410462e-33
"Celera Transcript hCT2290045",9.16942861063865e-33
"Celera hCG2001363.1",9.25585563764287e-33
"PPP1R15A",9.26947781631061e-33
"KIF3B",9.29070730608305e-33
"ZNF263",9.34890026046238e-33
"ATRN",9.36602933767921e-33
"MYCBP2",9.39415929727681e-33
"Celera Transcript hCT1828463.2",9.40106265470254e-33
"Celera Transcript hCT2350200",9.41325488709005e-33
"OR6N1",9.43803708559927e-33
"Celera Transcript hCT2311526",9.45495735776495e-33
"ZFYVE16",9.50082440542768e-33
"ZMYM4",9.51346142428041e-33
"ACTN4",9.53196955614624e-33
"194092",9.61166410367178e-33
"Celera Transcript hCT1810589.1",9.62096524892278e-33
"TTF2",9.68162623311244e-33
"DONSON",9.70289156043742e-33
"TTI1",9.71222533515684e-33
"MICB",9.71634516895603e-33
"HPS3",9.78328901732711e-33
"CDCA5",9.80506064403792e-33
"MARVELD3",9.98419715112612e-33
"RPS6KA5",9.98950857683893e-33
"FAM234A",1.00532439636213e-32
"CLASRP",1.0067263223917e-32
"SH3BP5L",1.01402240846121e-32
"CCDC174",1.0170902210549e-32
"EPSTI1",1.02099636870146e-32
"URGCP",1.02277991208675e-32
"112027",1.02280738793406e-32
"Celera Transcript hCT85734.2",1.02409540554897e-32
"MKLN1",1.03170488845387e-32
"PPARA",1.03215964506345e-32
"ARSB",1.03709054584069e-32
"CALU",1.04313395269531e-32
"NOTCH2NL",1.04888082697219e-32
"POLR2A",1.05262366333019e-32
"Celera hCG1985653,Celera hCG2014315",1.05308636626682e-32
"SARS2",1.05316438676014e-32
"Celera Transcript hCT2345536",1.05562706182474e-32
"SIRT1",1.05577661226371e-32
"Celera Transcript hCT2346637",1.05800792466279e-32
"Celera Transcript hCT2274102",1.06081601328904e-32
"XCR1",1.06081601328904e-32
"WDR59",1.06864616540211e-32
"Celera Transcript hCT1641006.4",1.07406886296196e-32
"OSBPL10",1.08361772857906e-32
"THEMIS2",1.09615851975803e-32
"PIP5K1C",1.10306488672012e-32
"Celera Transcript hCT2257763",1.10538497116319e-32
"TMEM158",1.10699634874214e-32
"214989",1.11174820574035e-32
"BTBD2",1.12648783597036e-32
"Celera Transcript hCT2304770.1",1.1274131441222e-32
"RNF146",1.1316570219525e-32
"Celera Transcript hCT1820341.2",1.13567366061146e-32
"Celera Transcript hCT2347412,Celera Transcript hCT2342700",1.14066521271417e-32
"Celera Transcript hCT1828316.2",1.14367064924966e-32
"UBE2E1",1.14547878600101e-32
"GLRX2",1.14833980957379e-32
"IRF2",1.16531471323923e-32
"CISH",1.16659587836773e-32
"SMCR8",1.16721741484245e-32
"SLC50A1",1.179955971039e-32
"PHF20L1",1.18749224104609e-32
"RBM47",1.19479775980087e-32
"HRH1",1.19714436856039e-32
"Celera Transcript hCT2347137",1.19999165645843e-32
"PNISR",1.21217196219182e-32
"ACOT13",1.21862662465288e-32
"RSPH6A",1.22281760200543e-32
"CEBPB",1.24105472549042e-32
"ARSD",1.2425034168668e-32
"SPATA25",1.24562122584986e-32
"GPR27",1.24737741384815e-32
"Celera Transcript hCT2261840",1.24757657839477e-32
"AK091919",1.2529533586764e-32
"ABHD14A",1.25809876100923e-32
"RASIP1",1.26448388163039e-32
"Celera hCG24487.2",1.27677932272599e-32
"AMOTL2",1.28446943478694e-32
"Celera Transcript hCT2294489",1.29501850296156e-32
"PLEKHB2",1.29751735692323e-32
"SLC20A2",1.29816013766625e-32
"CKAP4",1.29908555666962e-32
"NCAPG",1.31172639271078e-32
"Celera Transcript hCT31179.3,Celera Transcript hCT2349876",1.31649260745915e-32
"SHKBP1",1.3193116239851e-32
"144020",1.31941556165041e-32
"PIAS2",1.32550234226061e-32
"ZNF565",1.32587790123171e-32
"Celera Transcript hCT1832862.1",1.32724217297616e-32
"PIM3",6.07791918157269e-33
"CYP27A1",1.33044260166221e-32
"DHRS1",1.33243382432731e-32
"--obsolete",1.34033616644479e-32
"VPS13D",1.34797315698632e-32
"SLC9A7",1.35331334830155e-32
"DUSP3",1.35357357228167e-32
"HS3ST3B1",1.35768883596279e-32
"AKR7A3",1.36687893932075e-32
"141605",1.36780116899339e-32
"ACP6",1.36780116899339e-32
"FAT1",1.36780116899339e-32
"Celera Transcript hCT1643865.3",1.37228752293912e-32
"FOXH1",1.37283047016442e-32
"PAPD7",1.3737597432263e-32
"Celera Transcript hCT2341109,Celera Transcript hCT2341110",1.37425969567383e-32
"PIGB",1.37519702198037e-32
"PLOD3",1.38122577836411e-32
"ZBTB4",1.38122577836411e-32
"Celera Transcript hCT2343066",1.40360489588129e-32
"--obsolete",1.408792200415e-32
"Celera Transcript hCT1830866",1.42168486729224e-32
"TTC38",1.42421987700566e-32
"ZNF43",1.42485116577033e-32
"LARS2",1.42796763923011e-32
"STK36",1.43234532524431e-32
"TIMP2",1.43734688951604e-32
"DSG2",1.4445064531789e-32
"Celera Transcript hCT2343229",1.45260618800777e-32
"NOC3L",1.45415895153256e-32
"Celera Transcript hCT2346349",1.45805145347455e-32
"NNT",1.45979476611877e-32
"FYCO1",1.47590798737437e-32
"BRWD1",1.47621311459175e-32
"TAOK2",1.48361530327012e-32
"Celera Transcript hCT1953271.1,Celera Transcript hCT1953270.1,Celera Transcript hCT2357185",1.48563695215589e-32
"CSNK1G3",1.48723338933418e-32
"Celera Transcript hCT1777112.2",1.49221801056197e-32
"Celera Transcript hCT1951466.1",1.49368866998525e-32
"CCSAP",1.49650707356154e-32
"CASP5",1.49871520343137e-32
"P2RX2",1.50064733494019e-32
"TVP23B",1.50525656550723e-32
"ARFGAP1",1.50708138645926e-32
"LARP1B",1.50840263986778e-32
"ZNF324",1.51862921737e-32
"PLAT",1.51983924450623e-32
"Celera Transcript hCT2274268,Celera Transcript hCT1656576.1",1.52044719669123e-32
"KIF13B",1.5208936080012e-32
"NES",1.52264612525003e-32
"CYP2S1",1.52590063445256e-32
"TUBA1A",1.52753608380292e-32
"--obsolete",1.53045035701424e-32
"BNIP1",1.53123026718977e-32
"GTDC1",1.53151748862465e-32
"ARSE",1.53151748862465e-32
"Celera Transcript hCT1812941.1",1.53679309093302e-32
"MAP1LC3A",1.53957022067502e-32
"ACSF3",1.53965158506909e-32
"SCLY",1.54755283961071e-32
"Celera Transcript hCT2346532.1",1.54998579157306e-32
"Celera Transcript hCT1644617.2",1.55596303892331e-32
"Celera Transcript hCT1649680.3",1.55603129152679e-32
"Celera Transcript hCT2315485",1.56755666346211e-32
"SMG6",1.5869188017728e-32
"Celera Transcript hCT2345575",1.59254845357537e-32
"Celera Transcript hCT2345764",1.59407763543579e-32
"Celera Transcript hCT2304234",1.59571702356994e-32
"CTNND1",1.61291347184357e-32
"CTPS2",1.61328762234122e-32
"VPS36",1.61759411842459e-32
"FERMT1",1.63249371363742e-32
"CAV1",1.6383490851988e-32
"MICA",1.64217716801878e-32
"Celera hCG1644145.2",1.64488199334578e-32
"DCHS1",1.65477365901733e-32
"RPAP1",1.65668386243354e-32
"KDELC1",1.67860205499402e-32
"GALM",1.68080880697664e-32
"PTBP3",1.68733236615979e-32
"Celera Transcript hCT2347255",1.69825622176044e-32
"TCF4",1.71210082403072e-32
"PITPNB",1.71295492115694e-32
"HILPDA",1.7137583788253e-32
"LIMA1",1.72638991892718e-32
"Celera Transcript hCT2281018,Celera Transcript hCT2357510",1.73212051042403e-32
"Celera Transcript hCT2293999.1",1.73889564467385e-32
"GALR3",1.73889564467385e-32
"NXPH3",1.74303360663427e-32
"AGMAT",1.7461181349361e-32
"Celera Transcript hCT1816392.1",1.75333708009663e-32
"SLC35E2B",1.75388629255045e-32
"FAM177A1",1.76499335268357e-32
"ASNS",1.76616106981023e-32
"Celera Transcript hCT1648182.2",1.77183054975087e-32
"SCAMP4",1.77232262439761e-32
"Celera Transcript hCT1954353.1",1.77294442695543e-32
"Celera Transcript hCT2345512",1.78317194366134e-32
"Celera Transcript hCT2275831,Celera Transcript hCT2341013.1",1.80041867168071e-32
"ARHGAP11A",1.80156819856693e-32
"ASTE1",1.80234066475744e-32
"NAIF1",1.83645075394826e-32
"Celera Transcript hCT1653058.1",1.83945009859314e-32
"NPAS2",1.8485986983141e-32
"Celera Transcript hCT1647162.4",1.85880220455362e-32
"NVL",1.86587216352906e-32
"EPC2",1.87129462262155e-32
"Celera Transcript hCT1640517.2",1.87228433440763e-32
"CSF2RB",1.87317099294721e-32
"Celera Transcript hCT2326625",1.88438868432418e-32
"BC062753",1.88586529234016e-32
"MARVELD1",1.89219558532738e-32
"HIST1H2BH",1.89523522687306e-32
"ENOX2",1.91381889431043e-32
"TIMELESS",1.92535155697558e-32
"GPR160",1.94334884996893e-32
"Celera Transcript hCT2343592",1.9480656750423e-32
"VIPAS39",1.96106093727174e-32
"Celera Transcript hCT2281401.1",1.9671370414177e-32
"103585",1.9731305416251e-32
"TM4SF18",1.99461080050457e-32
"WDR4",1.99667785239817e-32
"Celera Transcript hCT1641189.3",1.99714120442012e-32
"WDR60",1.99931214474746e-32
"LEMD2",2.00548106068478e-32
"LIN37",2.00775525100702e-32
"Celera Transcript hCT1826498.3",2.01257884068793e-32
"C6orf15",2.01427570085084e-32
"Celera hCG1788856.2",2.01427570085084e-32
"Celera Transcript hCT2332242",2.0382680633424e-32
"LSP1",2.04247973306104e-32
"Celera Transcript hCT2346169",2.04666659801334e-32
"SH3KBP1",2.04987992136469e-32
"LLGL1",2.05374857960637e-32
"PLVAP",2.05946670266974e-32
"ZFP36L1",2.06371234189013e-32
"CREBRF",2.06639165463588e-32
"HIST1H2BK",2.06982604706049e-32
"INF2",2.06982604706049e-32
"KIAA0319L",2.07076093342224e-32
"SBNO1",2.07784801736919e-32
"EML2",2.08209745534953e-32
"Celera Transcript hCT2345805",2.0834583742835e-32
"Celera Transcript hCT1642163.2",2.08813620420314e-32
"NUBPL",2.09057662014769e-32
"RSBN1",2.09681587948067e-32
"SLC44A3",2.10744374421711e-32
"Celera hCG2042471",2.13009988352044e-32
"--obsolete",2.14358076316136e-32
"HAUS7",2.1440372416488e-32
"ATP1B1",2.15467707542365e-32
"URB2",2.15990176958447e-32
"--obsolete",2.16041354462189e-32
"C14orf93",2.19356982152058e-32
"CLEC14A",2.20145639173146e-32
"Celera Transcript hCT2329970",2.2050458691336e-32
"PIGK",2.22039390398588e-32
"GFER",2.22973707791341e-32
"CBLL1",2.23365242173696e-32
"JADE2",2.24312410008316e-32
"226080",2.24900507444306e-32
"IFT27",2.25524069114516e-32
"Celera Transcript hCT2278300",2.26311749228441e-32
"MANSC1",1.06638880983546e-32
"DOLPP1",2.28254814122642e-32
"RNF13",2.30078116982878e-32
"Celera Transcript hCT2310118",2.3157340822697e-32
"IFNL3",2.32889108889707e-32
"Celera Transcript hCT29125.3,Celera Transcript hCT2318426",2.33121724095377e-32
"ZNF256",2.33561250047764e-32
"SMAP2",2.33571311166082e-32
"150371",2.35078152089912e-32
"USP18",2.35304788840105e-32
"RAB2B",2.35999580074662e-32
"--obsolete",1.11465143715966e-32
"STAG2",2.37561923830935e-32
"FZD4",2.40611308893872e-32
"LAMC2",2.41088581279508e-32
"HIRIP3",2.41942758007869e-32
"HSCB",2.43662145808962e-32
"HCST",2.43761733850318e-32
"AMBRA1",2.44007807707326e-32
"FKBP14",2.46529473391339e-32
"CENPA",2.46600595676974e-32
"Celera Transcript hCT25136.3,Celera Transcript hCT2358382,Celera Transcript hCT1954167.1",2.46615119652862e-32
"KCNJ11",2.4792089871574e-32
"ZDHHC14",2.49658649627008e-32
"Celera hCG32857.4",2.50098631037368e-32
"SLC25A19",2.50834801909358e-32
"MCCC1",2.51025646292232e-32
"170475",2.51907522927417e-32
"MECP2",2.54942462275163e-32
"SLC30A5",2.55793364327627e-32
"Celera hCG2043058",2.57516290347437e-32
"METAP1",2.57757169872917e-32
"TMEM38A",2.60193826066518e-32
"CD68",2.64310582055097e-32
"CDH23",2.6446004156612e-32
"PTRH2",1.2543558526866e-32
"SULF2",2.65126149851154e-32
"Celera Transcript hCT1642537.3",3.08459020924644e-33
"SON",2.65417935412185e-32
"CENPC",2.66515771051319e-32
"TGFBI",2.71709031598096e-32
"Celera Transcript hCT2353787,Celera Transcript hCT1821306.1",2.74412459032089e-32
"Celera hCG1639814.4",2.75126001456926e-32
"Celera Transcript hCT1812231.2,Celera Transcript hCT1960742.1,Celera Transcript hCT1960741.1",2.76946218590241e-32
"COTL1",2.77958393454326e-32
"Celera Transcript hCT7543.2",2.79424763364286e-32
"NDUFAF5",2.8078140687398e-32
"ZNF3",2.8078140687398e-32
"NT5DC2",2.8236186835644e-32
"TBC1D4",2.82723566791659e-32
"Celera Transcript hCT1769498.2,Celera Transcript hCT2253389",2.84458205964276e-32
"PCSK1N",2.85271653681199e-32
"JARID2",2.85873898612504e-32
"ALDH3A2",2.90826034872309e-32
"SUV39H1",2.91205613677622e-32
"TMPRSS2",2.93274904743673e-32
"NF2",2.96653802048331e-32
"Celera Transcript hCT1842500.3",2.98241319200626e-32
"Celera Transcript hCT2342575",2.98806044995018e-32
"RRAGB",3.030487651603e-32
"Celera Transcript hCT2252768.1,Celera Transcript hCT2349659.1,Celera Transcript hCT2349660.1",3.04864495438956e-32
"Celera Transcript hCT2346497",3.07656166794766e-32
"OR52R1",3.07938927936078e-32
"RRP12",3.08228301821098e-32
"Celera Transcript hCT2347307",3.10014984157008e-32
"ASB6",3.10123583323379e-32
"Celera Transcript hCT10607.2",3.10123583323379e-32
"RRP1",3.10589692586581e-32
"--obsolete",3.11000520516378e-32
"SLC16A3",3.11159915262633e-32
"LMO2",3.1158343994942e-32
"LPP",3.1280430498091e-32
"AP1AR",3.13411768029378e-32
"NMT2",3.13985772314303e-32
"CUX1",3.18267095591049e-32
"Celera Transcript hCT2340714,Celera Transcript hCT2340713,Celera Transcript hCT2340712",3.18810949779184e-32
"Celera Transcript hCT2292065",3.19014099803038e-32
"GLCE",3.20326439760284e-32
"ITGAV",3.20906557727339e-32
"Celera Transcript hCT2345541",3.21374147389806e-32
"KLHL8",3.2375617687477e-32
"ACSL3",3.24334727307827e-32
"RABL3",3.25346692561109e-32
"Celera Transcript hCT2342840",3.27111768084773e-32
"ACOX1",3.27729041812979e-32
"MSI2",3.28355712139203e-32
"AKTIP",3.30918903514015e-32
"CHORDC1",3.32465913813074e-32
"MYH9",3.38558806446799e-32
"PDDC1",3.40093592600028e-32
"Celera Transcript hCT1643878.1",3.40370187673872e-32
"RNF38",3.41528292136033e-32
"Celera Transcript hCT2324993.1",3.43083624895321e-32
"KIAA0355",3.44676060986087e-32
"Celera hCG40227.3",3.45678163803166e-32
"Celera hCG2044140",3.46573396167754e-32
"Celera Transcript hCT2329186",3.49498188946892e-32
"ZNF708",3.49848842850242e-32
"Celera Transcript hCT1779708.1",3.54027298338727e-32
"--obsolete",3.55228466892763e-32
"LGALS1",3.58291539333629e-32
"CORO1A",3.59267063337938e-32
"LACE1",3.59567708047346e-32
"Celera Transcript hCT1643004.2",3.59889565056717e-32
"PNPLA4",3.61781661318061e-32
"LRIF1",3.62060243926021e-32
"Celera Transcript hCT2271566,Celera Transcript hCT2271567,Celera Transcript hCT2271565",3.63118936434847e-32
"Celera Transcript hCT2343577",3.65668799232409e-32
"ALOX5AP",3.66095497793581e-32
"Celera Transcript hCT20992.3",3.66801660582409e-32
"IGFL2",3.6719419261273e-32
"PQLC2",3.68097501245653e-32
"RPS6KL1",3.70454633009282e-32
"Celera hCG41542.3",3.72206427134518e-32
"BIK",3.73640560236573e-32
"MINPP1",3.75228722440391e-32
"Celera Transcript hCT2340626,Celera Transcript hCT2340627,Celera Transcript hCT2340628",3.7853453941939e-32
"MNAT1",3.79703858204455e-32
"Celera Transcript hCT2252095",3.80248919291303e-32
"Celera Transcript hCT1831085.3",3.81165137029117e-32
"C2orf15",3.82341779852972e-32
"Celera Transcript hCT2254640",3.82860894491754e-32
"Celera Transcript hCT2345200",3.84055855466859e-32
"WNT11",3.84165779000952e-32
"DENND3",3.84959763525612e-32
"IFT88",3.86175705284454e-32
"Celera Transcript hCT18809.4",3.86877349596051e-32
"SBF1",3.87350444618315e-32
"HMGB2",3.87738448639888e-32
"AFMID",3.89581951057821e-32
"200516",3.90429492138403e-32
"196735",3.91629883112612e-32
"ZNF443",3.92663415498675e-32
"EXOC8",3.93005444465081e-32
"Celera Transcript hCT22625.4,Celera Transcript hCT1815678.3",3.96739305898983e-32
"KMT2E",3.98754034938843e-32
"ARHGEF10",4.05590262093349e-32
"YAE1D1",4.05618334903317e-32
"Celera Transcript hCT6081.3",4.0709441596801e-32
"PTTG2",4.08125861635388e-32
"CDCA3",4.08501914427919e-32
"Celera hCG1811017.2",4.08985054736087e-32
"AGFG2",4.12515969776268e-32
"MPV17L2",4.1274665457947e-32
"TLK2",4.13800750458256e-32
"Celera Transcript hCT1970501.1",4.15356963235922e-32
"IRF1",4.15416315503252e-32
"LPAR2",4.16812233348753e-32
"RXFP4",4.20084491656112e-32
"PRSS16",4.20654320657553e-32
"SPTLC1",4.25764450855272e-32
"Celera Transcript hCT2359288,Celera Transcript hCT2341041",4.25945089336552e-32
"Celera Transcript hCT2257965,Celera Transcript hCT1819899.1",4.27559013035626e-32
"STK38",4.28648240675771e-32
"Celera Transcript hCT2348831",4.29043614514966e-32
"Celera Transcript hCT1830086.1",4.34432320718306e-32
"Celera Transcript hCT2350416",4.36607868542594e-32
"PFDN4",4.36607868542594e-32
"Celera Transcript hCT2290766,Celera Transcript hCT31905.2,Celera Transcript hCT1963257.1",4.36671394616884e-32
"Celera Transcript hCT2250864.1",4.38016493467668e-32
"AURKA",4.40533210765297e-32
"Celera Transcript hCT2345579",4.42123583717784e-32
"Celera Transcript hCT2327919",4.4631172707704e-32
"Celera Transcript hCT1971233.1",4.50421119780828e-32
"CHST7",4.50811677934292e-32
"SH2D6",4.50811677934292e-32
"SESN2",4.54200798638797e-32
"SPRYD4",4.57397090282472e-32
"ZNF14",4.60745012931133e-32
"GNL1",4.6116619453198e-32
"CLP1",4.62097566744497e-32
"Celera Transcript hCT16143.3",4.64085874576358e-32
"Celera Transcript hCT1813701.2",4.64689655059995e-32
"NKRF",4.65328336298458e-32
"ASB8",4.68117189092243e-32
"CASK",4.70018534505827e-32
"SHPK",4.70592956800913e-32
"SUGP2",4.72604311516598e-32
"SLC26A1",4.73043362154896e-32
"Celera Transcript hCT1640378.4",4.73384202052988e-32
"TMEM135",4.74281083562989e-32
"PREX1",4.7606140229222e-32
"SLC22A18",4.77856900500713e-32
"CER1",4.79448177467184e-32
"C10orf35",4.79489747856769e-32
"PHYKPL",4.79489747856769e-32
"KIF11",4.82760988441521e-32
"ZRANB1",4.88432479358329e-32
"KRTAP5-9",4.96357700467183e-32
"FAM3A",5.01474569621843e-32
"RYBP",5.0175578626143e-32
"POU2F2",5.02237550302461e-32
"SLC35F5",5.03671183714683e-32
"CDK8",5.0472144745479e-32
"CD93",5.04776127875136e-32
"203779",5.0694515887642e-32
"TBC1D5",5.07243856315963e-32
"LDB1",5.10279284613969e-32
"PACRGL",5.11159715311992e-32
"CDKN1A",5.11398240999571e-32
"Celera hCG2042396",5.17266444485967e-32
"GSDMD",5.18420159425837e-32
"Celera Transcript hCT2299437",5.20213279823064e-32
"DGCR6L",5.21726525408578e-32
"Celera Transcript hCT2345775",5.21893863818504e-32
"CBR4",5.2842201056412e-32
"MOCS3",5.34568522721927e-32
"WIPF2",5.34767356216314e-32
"ZNF383",5.35578317202317e-32
"SLC30A6",5.37621551896665e-32
"--obsolete",5.3833170099703e-32
"488616",5.3833170099703e-32
"IFRD1",5.39454274625133e-32
"CNOT9",5.41045499478611e-32
"PRKCD",5.43113184203667e-32
"LCP1",5.43701727866642e-32
"SLC25A12",5.44057178210345e-32
"THAP10",5.48120817912133e-32
"Celera Transcript hCT28641.2",5.48120817912133e-32
"Celera Transcript hCT2277338",2.8895467100628e-32
"FGD2",5.48862960759311e-32
"Celera Transcript hCT2348161",5.51603111650972e-32
"Celera Transcript hCT2349329,Celera Transcript hCT6068.3,Celera Transcript hCT2349330",5.62761717654864e-32
"NUB1",5.69009411646361e-32
"Celera Transcript hCT12253.4",5.70040064437609e-32
"Celera Transcript hCT2352498,Celera Transcript hCT1812709.2,Celera Transcript hCT2352496,Celera Transcript hCT2352497",5.72573341968225e-32
"TNPO1",5.7463978399807e-32
"NR1H3",5.76426453572185e-32
"NDUFV3",5.90307943270254e-32
"COMP",5.9471526452218e-32
"ANKZF1",5.95298642708121e-32
"RGL2",5.96690490314503e-32
"Celera Transcript hCT2330057",6.00416099008476e-32
"LCE3C",6.00440544624227e-32
"C16orf59",6.01689087747928e-32
"Celera Transcript hCT1821308.1",6.03149380459318e-32
"NADK2",6.04991560242532e-32
"GPRC5C",6.04991560242532e-32
"Celera Transcript hCT2304087.1",6.12320588641926e-32
"REXO4",6.12736001154487e-32
"HEY1",6.14508604190093e-32
"FAR2",6.17100919364136e-32
"Celera Transcript hCT2281398",6.17236030375538e-32
"VHL",6.19599360324363e-32
"KIAA1551",6.21616515226604e-32
"ENKD1",6.22496034181963e-32
"138399",6.24868702473434e-32
"ACTR2",6.26099208207047e-32
"ZNF442",6.26966086758724e-32
"Celera Transcript hCT1815503.1",6.32329843259792e-32
"TXNRD2",6.32329843259792e-32
